"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"691",15,NA,NA,NA,3,7,35,30,5,10,3,3,5,12,25,5,0,0,0,10,3,7,15,13,12,13,15,30,5,9,20,35,0,10,10,5
"692",NA,NA,NA,5,5,5,0,5,5,5,5,5,0,5,5,5,10,15,15,5,10,5,5,5,5,5,10,10,2,10,10,10,10,0,0,0
"693",30,2,5,15,NA,3,NA,NA,NA,20,NA,20,NA,NA,NA,NA,NA,NA,3,15,20,2,4,10,15,40,12,11,15,6,4,20,0,6,10,3
"694",15,10,10,15,31,10,7,19,20,11,9,10,10,5,8,10,20,5,20,20,39,13,12,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"695",NA,NA,NA,NA,NA,NA,NA,10,0,0,10,0,0,5,5,0,23,3,31,0,14,8,13,0,0,24,15,5,12,6,26,6,0,0,0,7
"696",64,0,20,20,22,35,55,20,20,5,10,40,74,50,10,20,0,20,65,10,45,25,45,0,15,10,20,50,20,25,25,20,40,50,15,10
"697",15,5,8,5,20,5,2,2,1,0,0,0,10,0,0,0,0,20,0,10,0,3,0,3,3,3,3,15,15,3,0,15,0,3,5,0
"698",NA,NA,5,5,25,3,5,10,0,5,0,0,40,0,25,0,0,0,35,0,0,1,15,5,1,10,40,15,3,5,40,15,0,8,0,0
"699",30,0,3,10,5,0,0,0,0,2,6,6,0,0,10,5,0,10,10,0,0,0,5,10,25,10,5,0,5,6,5,0,5,0,5,15
"700",10,28,12,8,14,0,10,15,0,25,20,9,2,30,35,NA,0,0,NA,NA,0,0,5,10,5,5,0,0,20,0,0,5,3,5,0,0
"701",20,15,30,25,25,20,5,15,15,20,5,5,5,5,10,0,0,0,10,2,0,0,0,3,0,10,5,0,4,0,0,15,0,8,31,21
"704",NA,NA,NA,NA,NA,NA,NA,5,20,10,20,15,20,50,20,20,NA,20,10,10,6,15,3,6,NA,NA,NA,NA,NA,NA,9,30,15,5,27,15
